Total,340,last hour,23,2023-12-20 14:13:03
Total,341,last hour,24,2023-12-20 14:13:09
Total,342,last hour,25,2023-12-20 14:13:15
Total,343,last hour,26,2023-12-20 14:13:21
Total,344,last hour,23,2023-12-20 14:20:37
Total,345,last hour,22,2023-12-20 14:22:42
Total,346,last hour,11,2023-12-20 14:40:49
Total,347,last hour,12,2023-12-20 14:42:29
Total,348,last hour,13,2023-12-20 14:47:18
Total,349,last hour,14,2023-12-20 14:48:20
Total,350,last hour,15,2023-12-20 14:50:10
Total,351,last hour,16,2023-12-20 14:51:56
Total,352,last hour,17,2023-12-20 14:56:05
Total,353,last hour,18,2023-12-20 14:57:01
Total,354,last hour,19,2023-12-20 15:02:27
Total,355,last hour,20,2023-12-20 15:05:17
Total,356,last hour,21,2023-12-20 15:10:19
Total,357,last hour,22,2023-12-20 15:11:29
Total,358,last hour,23,2023-12-20 15:12:10
Total,359,last hour,16,2023-12-20 15:14:44
Total,360,last hour,17,2023-12-20 15:16:31
Total,361,last hour,18,2023-12-20 15:17:02
Total,362,last hour,17,2023-12-20 15:23:21
Total,363,last hour,18,2023-12-20 15:24:29
Total,364,last hour,19,2023-12-20 15:24:34
Total,365,last hour,20,2023-12-20 15:24:39
Total,366,last hour,21,2023-12-20 15:24:43
Total,367,last hour,22,2023-12-20 15:32:25
Total,368,last hour,23,2023-12-20 15:32:29
Total,369,last hour,24,2023-12-20 15:32:34
Total,370,last hour,25,2023-12-20 15:32:38
Total,371,last hour,26,2023-12-20 15:34:25
Total,372,last hour,27,2023-12-20 15:34:30
Total,373,last hour,28,2023-12-20 15:34:34
Total,374,last hour,29,2023-12-20 15:34:38
Total,375,last hour,22,2023-12-20 15:57:55
Total,376,last hour,23,2023-12-20 15:58:01
Total,377,last hour,24,2023-12-20 15:58:05
Total,378,last hour,25,2023-12-20 15:58:10
Total,379,last hour,25,2023-12-20 16:03:18
Total,380,last hour,26,2023-12-20 16:03:22
Total,381,last hour,23,2023-12-20 16:14:15
Total,382,last hour,16,2023-12-20 16:25:07
Total,383,last hour,17,2023-12-20 16:25:11
Total,384,last hour,18,2023-12-20 16:25:15
Total,385,last hour,19,2023-12-20 16:25:20
Total,386,last hour,20,2023-12-20 16:30:35
Total,387,last hour,21,2023-12-20 16:30:40
Total,388,last hour,22,2023-12-20 16:30:45
Total,389,last hour,23,2023-12-20 16:30:49
Total,390,last hour,20,2023-12-20 16:33:12
Total,391,last hour,21,2023-12-20 16:33:17
Total,392,last hour,22,2023-12-20 16:33:21
Total,393,last hour,23,2023-12-20 16:33:25
Total,394,last hour,24,2023-12-20 16:34:08
Total,395,last hour,25,2023-12-20 16:34:12
Total,396,last hour,26,2023-12-20 16:34:16
Total,397,last hour,27,2023-12-20 16:34:20
Total,398,last hour,1,2023-12-21 08:57:37
Total,399,last hour,2,2023-12-21 08:57:42
Total,400,last hour,3,2023-12-21 08:57:46
Total,401,last hour,4,2023-12-21 08:57:50
Total,402,last hour,1,2023-12-21 10:21:40
Total,403,last hour,2,2023-12-21 10:21:45
Total,404,last hour,3,2023-12-21 10:22:23
Total,405,last hour,4,2023-12-21 10:22:27
Total,406,last hour,5,2023-12-21 10:24:12
Total,407,last hour,6,2023-12-21 10:24:17
Total,408,last hour,7,2023-12-21 10:27:23
Total,409,last hour,8,2023-12-21 10:27:28
Total,410,last hour,9,2023-12-21 10:27:33
Total,411,last hour,10,2023-12-21 10:27:37
Total,412,last hour,11,2023-12-21 10:37:23
Total,413,last hour,12,2023-12-21 10:37:27
Total,414,last hour,13,2023-12-21 10:37:32
Total,415,last hour,14,2023-12-21 10:37:36
Total,416,last hour,15,2023-12-21 10:51:47
Total,417,last hour,16,2023-12-21 10:51:52
Total,418,last hour,17,2023-12-21 10:52:00
Total,419,last hour,18,2023-12-21 10:52:04
Total,420,last hour,15,2023-12-21 11:24:04
Total,421,last hour,16,2023-12-21 11:24:09
Total,422,last hour,16,2023-12-21 11:24:13
Total,423,last hour,16,2023-12-21 11:24:18
Total,424,last hour,1,2023-12-21 14:00:10
Total,425,last hour,2,2023-12-21 14:00:14
Total,426,last hour,3,2023-12-21 14:00:19
Total,427,last hour,4,2023-12-21 14:00:24
Total,428,last hour,5,2023-12-21 14:02:33
Total,429,last hour,6,2023-12-21 14:02:38
Total,430,last hour,7,2023-12-21 14:02:42
Total,431,last hour,8,2023-12-21 14:02:47
Total,432,last hour,9,2023-12-21 14:15:57
Total,433,last hour,10,2023-12-21 14:16:03
Total,434,last hour,11,2023-12-21 14:16:08
Total,435,last hour,12,2023-12-21 14:16:13
Total,436,last hour,13,2023-12-21 14:20:38
Total,437,last hour,14,2023-12-21 14:20:48
Total,438,last hour,15,2023-12-21 14:20:52
Total,439,last hour,16,2023-12-21 14:23:41
Total,440,last hour,17,2023-12-21 14:23:46
Total,441,last hour,18,2023-12-21 14:23:50
Total,442,last hour,19,2023-12-21 14:23:55
Total,443,last hour,20,2023-12-21 14:27:15
Total,444,last hour,21,2023-12-21 14:27:20
Total,445,last hour,22,2023-12-21 14:27:24
Total,446,last hour,23,2023-12-21 14:27:29
Total,447,last hour,24,2023-12-21 14:30:09
Total,448,last hour,25,2023-12-21 14:30:13
Total,449,last hour,26,2023-12-21 14:30:17
Total,450,last hour,27,2023-12-21 14:30:22
Total,451,last hour,28,2023-12-21 14:37:55
Total,452,last hour,29,2023-12-21 14:38:00
Total,453,last hour,30,2023-12-21 14:38:05
Total,454,last hour,31,2023-12-21 14:38:10
